image_id,filename,extension,path,practice_data,chrome_not_safari,filesize,participant_id,sharpness,color_contrast,general,gender,age,expertise,colorblind,bad_vision
17,12,jpf,evaluatie_afbeeldingen/evaluatiereeks/12.jpf,0,0,1462256,2,5,5,5,female,22,1,0,0
18,12,jpg,evaluatie_afbeeldingen/evaluatiereeks/12.jpg,0,1,940917,2,4,4,4,female,22,1,0,0
19,12,png,evaluatie_afbeeldingen/evaluatiereeks/12.png,0,0,1928565,2,5,5,4,female,22,1,0,0
20,12,webp,evaluatie_afbeeldingen/evaluatiereeks/12.webp,0,1,607660,2,4,4,4,female,22,1,0,0
21,13,jpf,evaluatie_afbeeldingen/evaluatiereeks/13.jpf,0,0,1267904,2,4,5,4,female,22,1,0,0
22,13,jpg,evaluatie_afbeeldingen/evaluatiereeks/13.jpg,0,1,742574,2,4,4,4,female,22,1,0,0
23,13,png,evaluatie_afbeeldingen/evaluatiereeks/13.png,0,0,1707170,2,4,3,4,female,22,1,0,0
24,13,webp,evaluatie_afbeeldingen/evaluatiereeks/13.webp,0,1,497034,2,4,3,3,female,22,1,0,0
25,14,jpf,evaluatie_afbeeldingen/evaluatiereeks/14.jpf,0,0,1595469,2,2,3,4,female,22,1,0,0
26,14,jpg,evaluatie_afbeeldingen/evaluatiereeks/14.jpg,0,1,1004143,2,3,3,4,female,22,1,0,0
27,14,png,evaluatie_afbeeldingen/evaluatiereeks/14.png,0,0,2140382,2,2,3,4,female,22,1,0,0
28,14,webp,evaluatie_afbeeldingen/evaluatiereeks/14.webp,0,1,1490900,2,3,4,3,female,22,1,0,0
29,15,jpf,evaluatie_afbeeldingen/evaluatiereeks/15.jpf,0,0,1507942,2,3,3,4,female,22,1,0,0
30,15,jpg,evaluatie_afbeeldingen/evaluatiereeks/15.jpg,0,1,868883,2,3,3,3,female,22,1,0,0
31,15,png,evaluatie_afbeeldingen/evaluatiereeks/15.png,0,0,1945990,2,4,4,4,female,22,1,0,0
32,15,webp,evaluatie_afbeeldingen/evaluatiereeks/15.webp,0,1,1402662,2,3,4,3,female,22,1,0,0
33,3,jpf,evaluatie_afbeeldingen/evaluatiereeks/3.jpf,0,0,743355,2,5,5,4,female,22,1,0,0
34,3,jpg,evaluatie_afbeeldingen/evaluatiereeks/3.jpg,0,1,161146,2,4,3,4,female,22,1,0,0
35,3,png,evaluatie_afbeeldingen/evaluatiereeks/3.png,0,0,1634356,2,4,4,4,female,22,1,0,0
36,3,webp,evaluatie_afbeeldingen/evaluatiereeks/3.webp,0,1,61688,2,2,3,4,female,22,1,0,0
37,4,jpf,evaluatie_afbeeldingen/evaluatiereeks/4.jpf,0,0,722209,2,3,3,4,female,22,1,0,0
38,4,jpg,evaluatie_afbeeldingen/evaluatiereeks/4.jpg,0,1,170414,2,2,4,4,female,22,1,0,0
39,4,png,evaluatie_afbeeldingen/evaluatiereeks/4.png,0,0,1555229,2,5,5,4,female,22,1,0,0
40,4,webp,evaluatie_afbeeldingen/evaluatiereeks/4.webp,0,1,62528,2,3,3,4,female,22,1,0,0
41,5,jpf,evaluatie_afbeeldingen/evaluatiereeks/5.jpf,0,0,778830,2,3,3,4,female,22,1,0,0
42,5,jpg,evaluatie_afbeeldingen/evaluatiereeks/5.jpg,0,1,190806,2,4,4,4,female,22,1,0,0
43,5,png,evaluatie_afbeeldingen/evaluatiereeks/5.png,0,0,1741424,2,3,3,4,female,22,1,0,0
